sample	popGrouping	ageAverage
VK372	ancient-Yamnaya	900
VK373	ancient-Yamnaya	900
VK446	ancient-Yamnaya	900
VK141	ancient-Yamnaya	900
VK279	ancient-Yamnaya	900
VK289	ancient-Yamnaya	1000
VK291	ancient-Yamnaya	1000
VK281	ancient-Yamnaya	900
VK298	ancient-Yamnaya	900
VK286	ancient-Yamnaya	900
VK288	ancient-Yamnaya	900
VK292	ancient-Yamnaya	900
VK320	ancient-Yamnaya	900
VK338	ancient-Yamnaya	900
VK361	ancient-Yamnaya	900
VK362	ancient-Yamnaya	900
VK363	ancient-Yamnaya	900
VK364	ancient-Yamnaya	900
VK365	ancient-Yamnaya	900
VK366	ancient-Yamnaya	900
VK367	ancient-Yamnaya	900
VK368	ancient-Yamnaya	900
VK284	ancient-Yamnaya	900
VK295	ancient-Yamnaya	900
VK316	ancient-Yamnaya	900
VK296	ancient-Yamnaya	1230
VK297	ancient-Yamnaya	1200
VK274	ancient-Yamnaya	900
VK275	ancient-Yamnaya	900
VK276	ancient-Yamnaya	900
VK285	ancient-Yamnaya	900
VK287	ancient-Yamnaya	900
VK317	ancient-Yamnaya	900
VK290	ancient-Yamnaya	900
VK282	ancient-Yamnaya	900
NEO18	ancient-Hunter-Gatherer (E)	9901
NEO27	ancient-Hunter-Gatherer (E)	9694
ble008	ancient-Hunter-Gatherer (E)	9825
sf9	ancient-Hunter-Gatherer (E)	9144
sf12	ancient-Hunter-Gatherer (E)	8895
sbj001	ancient-Hunter-Gatherer (E)	8771
Motala12	ancient-Hunter-Gatherer (E)	7626
Motala2	ancient-Hunter-Gatherer (E)	7594.5
Motala1	ancient-Hunter-Gatherer (E)	7568.5
NEO679	ancient-Hunter-Gatherer (W)	6834
NEO260	ancient-Hunter-Gatherer (W)	5825
ans005	ancient-Early Farmer	5265
ans003	ancient-Early Farmer	5250
ans008	ancient-Early Farmer	5135
ans017	ancient-Early Farmer	5080
NEO36	ancient-Early Farmer	5097
NEO39	ancient-Early Farmer	5074
Gok2	ancient-Early Farmer	4850
ros3	ancient-Early Farmer	4955
ros005	ancient-Early Farmer	4740
ans016	ancient-Early Farmer	4646
oll007	ancient-Yamnaya	4630
oll009	ancient-Yamnaya	3790
oll010	ancient-Yamnaya	3720
ajv54	ancient-Hunter-Gatherer (E)	5080
Ajv58	ancient-Hunter-Gatherer (E)	4700
Ajv70	ancient-Hunter-Gatherer (E)	4700
ber2F	ancient-Yamnaya	4510
RISE94	ancient-Yamnaya	4496.5
ber1M	ancient-Yamnaya	4495
NEO44	ancient-Yamnaya	4389
NEO51	ancient-Yamnaya	4361
RISE98	ancient-Yamnaya	4103.5
RISE97	ancient-Yamnaya	3905
NEO220	ancient-Yamnaya	3989
NEO227	ancient-Yamnaya	3948
NEO224	ancient-Yamnaya	3945
NEO228	ancient-Yamnaya	3843
NEO225	ancient-Yamnaya	3750
NEO261	ancient-Yamnaya	3895
NEO52	ancient-Yamnaya	3765
RISE174	ancient-Yamnaya	1431
VK579	ancient-Yamnaya	1650
VK522	ancient-Yamnaya	1564
VK350	ancient-Yamnaya	1151
VK349	ancient-Yamnaya	1121
VK355	ancient-Yamnaya	1102
VK442	ancient-Yamnaya	1102
VK444	ancient-Yamnaya	1102
VK358	ancient-Yamnaya	1097
VK336	ancient-Yamnaya	1097
VK332	ancient-Yamnaya	1092
VK337	ancient-Yamnaya	1092
VK333	ancient-Yamnaya	1065
VK354	ancient-Yamnaya	964
VK334	ancient-Yamnaya	901
VK353	ancient-Yamnaya	901
VK335	ancient-Yamnaya	900
VK342	ancient-Yamnaya	900
VK343	ancient-Yamnaya	900
VK344	ancient-Yamnaya	900
VK345	ancient-Early Farmer	900
VK346	ancient-Yamnaya	900
VK348	ancient-Yamnaya	900
VK352	ancient-Yamnaya	900
VK380	ancient-Yamnaya	900
VK443	ancient-Yamnaya	900
VK533	ancient-Yamnaya	900
VK357	ancient-Yamnaya	897
VK428	ancient-Yamnaya	975
VK429	ancient-Yamnaya	975
VK430	ancient-Yamnaya	975
VK431	ancient-Yamnaya	975
VK432	ancient-Yamnaya	975
VK433	ancient-Yamnaya	975
VK434	ancient-Yamnaya	975
VK438	ancient-Yamnaya	975
VK439	ancient-Yamnaya	975
VK455	ancient-Yamnaya	975
VK456	ancient-Yamnaya	975
VK457	ancient-Yamnaya	975
VK458	ancient-Yamnaya	975
VK459	ancient-Yamnaya	975
VK460	ancient-Yamnaya	975
VK461	ancient-Yamnaya	975
VK463	ancient-Yamnaya	975
VK56	ancient-Yamnaya	975
VK57	ancient-Yamnaya	975
VK58	ancient-Yamnaya	975
VK60	ancient-Yamnaya	975
VK63	ancient-Yamnaya	975
VK64	ancient-Yamnaya	975
VK232	ancient-Yamnaya	975
VK450	ancient-Yamnaya	975
VK452	ancient-Yamnaya	975
VK453	ancient-Yamnaya	975
VK454	ancient-Yamnaya	975
VK468	ancient-Yamnaya	975
VK469	ancient-Yamnaya	975
VK471	ancient-Yamnaya	975
VK473	ancient-Yamnaya	975
VK474	ancient-Yamnaya	975
VK475	ancient-Yamnaya	975
VK476	ancient-Yamnaya	975
VK477	ancient-Yamnaya	975
VK478	ancient-Yamnaya	975
VK479	ancient-Yamnaya	975
VK48	ancient-Yamnaya	975
VK50	ancient-Yamnaya	975
VK51	ancient-Yamnaya	975
VK53	ancient-Yamnaya	975
VK265	ancient-Yamnaya	900
VK266	ancient-Yamnaya	900
VK268	ancient-Yamnaya	900
VK108	ancient-Yamnaya	850
VK217	ancient-Yamnaya	850
VK29	ancient-Yamnaya	800
VK30	ancient-Yamnaya	800
VK303	ancient-Yamnaya	800
VK306	ancient-Yamnaya	800
VK308	ancient-Yamnaya	800
VK309	ancient-Yamnaya	800
VK31	ancient-Yamnaya	800
VK34	ancient-Yamnaya	800
VK35	ancient-Yamnaya	800
VK39	ancient-Yamnaya	800
VK395	ancient-Yamnaya	800
VK396	ancient-Yamnaya	800
VK397	ancient-Yamnaya	800
VK398	ancient-Yamnaya	800
VK399	ancient-Yamnaya	800
VK40	ancient-Yamnaya	800
VK400	ancient-Yamnaya	800
VK401	ancient-Yamnaya	800
VK402	ancient-Yamnaya	800
VK403	ancient-Yamnaya	800
VK404	ancient-Yamnaya	800
VK405	ancient-Yamnaya	800
VK406	ancient-Yamnaya	800
VK407	ancient-Yamnaya	800
VK42	ancient-Yamnaya	800
VK424	ancient-Yamnaya	800
VK425	ancient-Yamnaya	800
VK426	ancient-Yamnaya	800
VK427	ancient-Yamnaya	800
VK527	ancient-Yamnaya	800
H22	ancient-Hunter-Gatherer (E)	9363.5
H26	ancient-Hunter-Gatherer (E)	9363.5
NEO17	ancient-Hunter-Gatherer (E)	9146
stg001	ancient-Hunter-Gatherer (E)	5857
VK531	ancient-Hunter-Gatherer (E)	4350
VK523	ancient-Yamnaya	1800
VK418	ancient-Yamnaya	1500
VK390	ancient-Yamnaya	1350
VK391	ancient-Yamnaya	1350
VK419	ancient-Yamnaya	1100
VK514	ancient-Yamnaya	1100
VK519	ancient-Yamnaya	1100
VK529	ancient-Yamnaya	1050
VK525	ancient-Yamnaya	1000
VK526	ancient-Yamnaya	1000
VK547	ancient-Yamnaya	950
VK515	ancient-Yamnaya	900
VK524	ancient-Yamnaya	900
VK530	ancient-Yamnaya	900
VK388	ancient-Yamnaya	700
VK548	ancient-Yamnaya	1000
VK417	ancient-Yamnaya	1000
VK415	ancient-Yamnaya	950
VK386	ancient-Yamnaya	900
VK387	ancient-Yamnaya	850
VK414	ancient-Yamnaya	850
VK420	ancient-Yamnaya	950
VK448	ancient-Yamnaya	950
VK393	ancient-Yamnaya	900
VK394	ancient-Yamnaya	900
VK422	ancient-Yamnaya	900
VK516	ancient-Yamnaya	900
VK392	ancient-Yamnaya	1000
VK389	ancient-Yamnaya	900
VK528	ancient-Yamnaya	1050
VK520	ancient-Yamnaya	900
VK113	ancient-Yamnaya	650
VK114	ancient-Yamnaya	650
VK117	ancient-Yamnaya	650
VK118	ancient-Yamnaya	650
VK124	ancient-Yamnaya	650
DA234	ancient-Yamnaya	1745.5
DA236	ancient-Yamnaya	1508
Ardu1	ancient-Yamnaya	4638
NEO306	ancient-Yamnaya	4472
RISE00	ancient-Yamnaya	4412.5
